ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Motility
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,Acetobacter orientalis,GCA_000963965,0
21,CWBI-B418,"DSM 18889, LMG 23690",1,Acetobacter senegalensis,GCA_001580995,1
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,Acetobacter syzygii,GCA_000964225,1
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,GCA_000266925,0
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,GCA_900107215,1
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713, DSM 115985",1,Achromobacter aegrifaciens,GCA_902859735,0
140509,,"LMG 3411, CCUG 62454",1,Achromobacter agilis,GCA_900496965,1
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,GCA_004121055,1
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,Achromobacter animicus,GCA_902859585,1
156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,Achromobacter anxifer,GCA_903652925,1
140506,,"LMG 3458, CCUG 62433",1,Achromobacter deleyi,GCA_902859705,1
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,Achromobacter denitrificans,GCA_001571365,1
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,Achromobacter denitrificans,GCA_902859985,1
134918,"Vandamme R-47430, LiPuma AU4012, AU4012, R-47430","CIP 110711, LMG 26840, CCUG 62421, DSM 115983",1,Achromobacter dolens,GCA_902859745,1
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,Achromobacter insolitus,GCA_001971645,1
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426, DSM 115984",1,Achromobacter insuavis,GCA_902859645,1
140507,,"CCUG 62449, LMG 3441",1,Achromobacter kerstersii,GCA_902859595,1
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,Achromobacter marplatensis,GCA_003315095,0
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,Achromobacter mucicolens,GCA_902859725,1
136829,,"CIP 60.81, ATCC 13138, JCM 20671, IAM 12594, LMG 3415, JCM 9658",0,Achromobacter mucicolens,GCA_902859995,1
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,Achromobacter pestifer,GCA_902859625,1
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,Achromobacter piechaudii,GCA_001571245,1
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,Achromobacter pulmonis,GCA_902859765,1
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,Achromobacter ruhlandii,GCA_902859695,1
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,Achromobacter spanius,GCA_002812705,1
168915,,"LMG 30378, CCUG 71558",1,Achromobacter veterisilvae,GCA_900496975,1
136825,,"CIP 71.33, JCM 9660, ATCC 27062, IAM 12685, LMG 3429, NCTC 10808",0,Achromobacter xylosoxidans,GCA_900475575,1
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,Achromobacter xylosoxidans subsp. xylosoxidans,GCA_000508285,1
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,Acidaminococcus fermentans,GCA_000025305,0
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,Acidaminococcus intestini,GCA_000425045,0
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,Acidibrevibacterium fodinaquatile,GCA_003352165,0
133383,SK-11,"DSM 100508, NBRC 111227",1,Acidicapsa acidisoli,GCA_025685625,0
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,Acidicapsa dinghuensis,GCA_025685685,0
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,Acidicapsa ligni,GCA_025685655,0
6149,V6,"DSM 14174, JCM 32253",1,Acidihalobacter aeolianus,GCA_001753165,1
24820,V8,"DSM 14175, JCM 32254",1,Acidihalobacter ferrooxydans,GCA_001975725,1
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,Acidimicrobium ferrooxidans,GCA_000023265,1
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,Acidipropionibacterium acidipropionici,GCA_000427845,0
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,Acidipropionibacterium acidipropionici,GCA_000310065,0
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,Acidipropionibacterium jensenii,GCA_000425285,0
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,Acidipropionibacterium thoenii,GCA_000423445,0
67,HS-AP3,"DSM 16009, JCM 10600",1,Acidisphaera rubrifaciens,GCA_000964365,0
160797,MG,"DSM 107098, JCM 33084",1,Acidithiobacillus ferrianus,GCA_010378095,1
132357,M20,"DSM 100412, JCM 30830",1,Acidithiobacillus ferriphilus,GCA_018854775,1
159192,CJ-2,"DSM 105150, KCTC 4683",1,Acidithiobacillus sulfuriphilus,GCA_003721225,1
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,Acidithiobacillus thiooxidans,GCA_000227215,1
137426,,"CIP 104766, ATCC 19703, NCIMB 8345",0,Acidithiobacillus thiooxidans,GCA_018853445,0
133033,PMMR2,"DSM 27394, LMG 28340",1,Acidobacterium ailaaui,GCA_000688455,0
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,Acidovorax avenae,GCA_000176855,1
2903,R-24608,"DSM 19327, LMG 24103",1,Acidovorax caeni,GCA_001298675,1
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,Acidovorax cattleyae,GCA_900104515,1
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,Acidovorax facilis,GCA_023913775,1
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,Acidovorax kalamii,GCA_002245625,1
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,Acidovorax konjaci,GCA_900112675,1
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,Acidovorax oryzae,GCA_000687165,1
2905,N35,"DSM 23535, LMG 25767",1,Acidovorax radicis,GCA_000204195,1
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,Acidovorax soli,GCA_900107605,0
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,Acidovorax temperans,GCA_006716905,0
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,Acidovorax valerianellae,GCA_900102625,1
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,Acidovorax wautersii,GCA_900113035,1
8095,,"DSM 30011, ATCC 23220, NCIMB 8208, NRRL B-551, CIP 68.38, LMG 1049, NCDO 709",0,Acinetobacter baumannii,GCA_001936675,0
134717,,"CIP 110428, NIPH 146",0,Acinetobacter baumannii,GCA_000368185,0
134718,,"CIP 110429, NIPH 190",0,Acinetobacter baumannii,GCA_000368525,0
134722,,"CIP 110434, NIPH 410",0,Acinetobacter baumannii,GCA_000413915,0
134783,,"CIP 110436, NIPH 528, CCM 7290, LMG 10541, RUH 134, CCUG 60612",0,Acinetobacter baumannii,GCA_000369285,0
134981,,"CIP 110437, NIPH 601",0,Acinetobacter baumannii,GCA_000369245,0
135233,,"CIP 110432, NIPH 329",0,Acinetobacter baumannii,GCA_000369225,0
135561,,"CIP 110431, NIPH 290",0,Acinetobacter baumannii,GCA_000369325,0
135562,12A133,"CIP 110464, NIPH 1669",0,Acinetobacter baumannii,GCA_000368105,0
135661,,"CIP 70.10, ATCC 15151",0,Acinetobacter baumannii,GCA_001457535,0
135763,,"CIP 110467, NIPH 2061",0,Acinetobacter baumannii,GCA_000368225,0
136755,,"CIP 110438, NIPH 615",0,Acinetobacter baumannii,GCA_000368205,0
136766,,"CIP 110463, NIPH 1362",0,Acinetobacter baumannii,GCA_000368125,0
136828,,"CIP 110466, NIPH 1734",0,Acinetobacter baumannii,GCA_000368245,0
137208,,"CIP 110435, NIPH 527, CCM 7289, LMG 10543, RUH 875",0,Acinetobacter baumannii,GCA_000369185,0
137459,,"CIP 110433, NIPH 335",0,Acinetobacter baumannii,GCA_000369205,0
138562,7788,"CIP 70.32, ATCC 17961",0,Acinetobacter baumannii,GCA_015910475,0
138786,,"CIP 110430, NIPH 201",0,Acinetobacter baumannii,GCA_000369165,0
139048,,"CIP 70.22, ATCC 17945",0,Acinetobacter baumannii,GCA_001997285,0
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,Acinetobacter baylyi,GCA_000368685,0
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,Acinetobacter beijerinckii,GCA_000369005,0
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,Acinetobacter bereziniae,GCA_000248295,0
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,Acinetobacter bouvetii,GCA_000368865,0
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636, CIP 110501, ANC 4119",1,Acinetobacter brisouii,GCA_000488275,0
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,Acinetobacter calcoaceticus,GCA_000248175,0
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,Acinetobacter chengduensis,GCA_003664645,0
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,Acinetobacter colistiniresistens,GCA_000413935,0
138442,,"CIP 110477, NIPH 1859, LMG 10627, CNCTC 7581, CCUG 26389",0,Acinetobacter colistiniresistens,GCA_000369765,1
141331,,"CCUG 887, ATCC 17905, NCTC 10304, CIP 64.2, CNCTC 7582, NIPH 1860",0,Acinetobacter colistiniresistens,GCA_000248215,0
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,Acinetobacter courvalinii,GCA_000369785,0
139535,,"CIP 110479, NIPH 1847, CCUG 34435",0,Acinetobacter courvalinii,GCA_000369605,0
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,Acinetobacter defluvii,GCA_001704615,0
133175,JVAP01,"CECT 9134, LMG 29605",1,Acinetobacter lactucae,GCA_001595745,0
139491,,"CIP 110481, NIPH 1867, CCUG 34437",0,Acinetobacter dispersus,GCA_000369545,1
140912,114,"CCUG 65204, DSM 27228",1,Acinetobacter equi,GCA_001307195,0
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,Acinetobacter gerneri,GCA_000368565,0
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,Acinetobacter guillouiae,GCA_000368145,0
135563,,"CIP 110465, NIPH 991",0,Acinetobacter guillouiae,GCA_000368485,0
136752,,"CIP 110451, NIPH 230, CCUG 56138",0,Acinetobacter gyllenbergii,GCA_000488195,0
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,Acinetobacter haemolyticus,GCA_000369065,0
136765,,"CIP 110442, NIPH 261",0,Acinetobacter haemolyticus,GCA_000369085,0
137495,,"CIP 64.4, ATCC 17907, NCTC 10306, CCUG 891",0,Acinetobacter haemolyticus,GCA_900444825,0
137522,,"CIP 70.27, ATCC 19194",0,Acinetobacter haemolyticus,GCA_000164055,0
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,Acinetobacter indicus,GCA_000488255,0
131299,1NM-4,"DSM 100979, CCTCC AB 2014199, GIMCC 1.656, KCTC 42012, CCUG 69701, CIP 111486",0,Acinetobacter indicus,GCA_002174105,0
139603,,"CIP 53.82, ATCC 17976",0,Acinetobacter indicus,GCA_000369465,0
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,Acinetobacter johnsonii,GCA_000368045,0
138934,,"CIP 68.41, ATCC 9036, IAM 1517, LMG 983, NCDO 715, NCIMB 8154, JCM 20194, NBRC 102197",0,Acinetobacter johnsonii,GCA_007989645,0
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,Acinetobacter junii,GCA_900444875,0
8087,17AO4,"CCUG 50767, DSM 14968, CIP 107470, CCM 7198",0,Acinetobacter junii,GCA_000368665,0
136748,,"CIP 110443, NIPH 182",0,Acinetobacter junii,GCA_000368745,0
133403,BRTC-1,"ACCC 19936, JCM 31367",1,Acinetobacter larvae,GCA_001704115,0
8058,,"DSM 2403, ATCC 15309, CIP 644.10, JCM 6840, NCTC 5866, ATCC 17986, CCM 5581, CCUG 12805, CCUG 33984, CECT 453, CIP 64.10, LMG 1029, LMG 1240, NBRC 109760, NCIMB 12456, CIP 110687, KCTC 12407, NCIB 12456",1,Acinetobacter lwoffii,GCA_000248355,0
134719,,"CIP 110447, NIPH 478",0,Acinetobacter lwoffii,GCA_000369145,0
138819,,"CIP 110448, NIPH 715",0,Acinetobacter lwoffii,GCA_000368165,0
139049,,"CIP 70.36, ATCC 17987, NCTC 5867",0,Acinetobacter lwoffii,GCA_900444925,0
139604,,CIP 102136,0,Acinetobacter lwoffii,GCA_000369685,0
139605,,"CIP 64.7, ATCC 17910, NCTC 10309",0,Acinetobacter lwoffii,GCA_000369745,0
139606,,"CIP 70.31, ATCC 9957, CCUG 61662, LMG 985, CNCTC Mi 3/65",0,Acinetobacter lwoffii,GCA_000369125,0
139612,,CIP 101966,0,Acinetobacter lwoffii,GCA_000369725,0
163942,GC2,"JCM 31073, DSM 26953",0,Acinetobacter mesopotamicus,GCA_011058205,0
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,Acinetobacter modestus,GCA_000367965,0
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,Acinetobacter nectaris,GCA_000488215,0
132120,,"DSM 102856, CCM 7791, CNCTC 7433, LMG 10619, NIPH 2119, CCUG 61663, RUH 2376, CIP 110470",1,Acinetobacter nosocomialis,GCA_000368085,0
136146,,"CIP 110440, NIPH 386",0,Acinetobacter nosocomialis,GCA_000368605,0
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,Acinetobacter parvus,GCA_000248155,0
134448,2288,CIP 102129,0,Acinetobacter parvus,GCA_000368305,0
138820,,"CIP 110475, NIPH 1103, LMG 21766, LUH 3313",0,Acinetobacter parvus,GCA_000368005,0
139613,,CIP 102529,0,Acinetobacter parvus,GCA_000368325,0
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,Acinetobacter piscicola,GCA_002233755,0
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,Acinetobacter pittii,GCA_000369045,0
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,Acinetobacter proteolyticus,GCA_000367945,0
164465,S23,"JCM 33150, KACC 19921",1,Acinetobacter pullicarnis,GCA_006352475,0
136812,SEIP 12.81,"CIP 110469, NIPH 2130, BOUVET 76",0,Acinetobacter radioresistens,GCA_000368885,0
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107, CIP 110305",1,Acinetobacter rudis,GCA_000829675,0
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,Acinetobacter schindleri,GCA_000368625,0
135565,,"CIP 110474, NIPH 900",0,Acinetobacter schindleri,GCA_000368465,0
139607,,CIP 101934,0,Acinetobacter schindleri,GCA_000369585,0
132199,Gerner-Smidt 10090,"DSM 102854, CCM 8535, CCUG 34785, CIP 110471, NIPH 973, NIPH 973 (<Gerner-Smidt 10090)",1,Acinetobacter seifertii,GCA_000368065,0
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,Acinetobacter sichuanensis,GCA_003024515,0
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,Acinetobacter soli,GCA_000368705,0
139530,,"CIP 110476, NIPH 2899",0,Acinetobacter soli,GCA_000368725,1
137422,,"CIP 110452, NIPH 298",0,Acinetobacter sp.,GCA_000369505,0
139608,,CIP 56.2,0,Acinetobacter sp.,GCA_000368445,0
141333,,"CCUG 996, CIP 70.18, NCDC KC727, ATCC 17988, LMG 1031",0,Acinetobacter higginsii,GCA_000369525,0
167144,KPC-SM-21,"DSM 102168, LMG 29413, CIP 111016",1,Acinetobacter stercoris,GCA_900323515,0
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,Acinetobacter tandoii,GCA_000400735,0
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,Acinetobacter tjernbergiae,GCA_000374425,0
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,Acinetobacter towneri,GCA_000368785,0
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,Acinetobacter ursingii,GCA_000248135,0
136751,,"CIP 110450, NIPH 706",0,Acinetobacter ursingii,GCA_000369885,0
132198,strain Tjernberg & Ursing 151a,"DSM 102977, CCM 8555, CCUG 26390, CIP 110486, NIPH 2171",1,Acinetobacter variabilis,GCA_000369625,0
136891,,"CIP 110487, NIPH 899",0,Acinetobacter variabilis,GCA_000368385,0
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,Acinetobacter vivianii,GCA_000369705,0
139494,A110a,"CIP 110485, NIPH 758",0,Acinetobacter vivianii,GCA_000368345,0
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,Actibacterium mucosum,GCA_000647975,0
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,Actibacterium pelagium,GCA_002285415,0
141055,LS-811,"BCRC 80823, JCM 30681",1,Actibacterium ureilyticum,GCA_002285435,1
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,Actinoallomurus purpureus,GCA_024055795,0
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,Actinoallomurus spadix,GCA_024055725,0
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,Actinoalloteichus caeruleus,GCA_000429185,0
13194,,"DSM 45092, CGMCC 4.2500, CIP 109428, JCM 13436, HPA 177, BCRC 16835, NCIMB 14383, NRRL B-24537",1,Actinoalloteichus hymeniacidonis,GCA_001747425,0
11688,P. 907,"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,Actinobacillus arthritidis,GCA_029774155,0
11689,PM 30/53,"ATCC 19392, MCCM 00142, DSM 19655, CCUG 2041, CIP 103284, JCM 2432, NCTC 8529, LMG 3736",1,Actinobacillus equuli subsp. equuli,GCA_029773685,0
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,Actinobacillus equuli subsp. haemolyticus,GCA_029773665,0
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,Actinobacillus minor,GCA_000175195,0
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,Actinobacillus porcinus,GCA_900773985,0
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,Actinobacillus seminis,GCA_002263215,0
11682,1276/61,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,Actinobacillus suis,GCA_000739435,0
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,Actinobacillus ureae,GCA_000188255,0
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,Actinobaculum massiliense,GCA_001457435,0
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,Actinobaculum suis,GCA_900102025,0
7796,KV-744,"DSM 45336, NBRC 101916, NRRL B-24477, JCM 15920",1,Actinocatenispora sera,GCA_000720965,0
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,Actinocatenispora thailandica,GCA_016865425,0
132014,OB1,"DSM 45618, ATCC BAA-2771",1,Actinocrinis puniceicyclus,GCA_018283645,0
132668,MI503-A4,"DSM 45934, NBRC 109632",1,Actinocrispum wychmicini,GCA_004345645,0
13206,YU 961-1,"DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,Actinokineospora auranticolor,GCA_002934265,0
13207,ID 03-0561,"DSM 45656, BTCC B554, NBRC 104211",1,Actinokineospora baliensis,GCA_016907695,0
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,Actinokineospora bangkokensis,GCA_001940455,0
13209,ID 03-0810,"DSM 45657, BTCC B-558, NBRC 105526",1,Actinokineospora cianjurensis,GCA_003663795,0
13205,YU 924-101,"DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,Actinokineospora enzanensis,GCA_000374445,0
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,Actinomadura atramentaria,GCA_000381885,0
16988,3.24,"DSM 44772, AS 4.1522, IFO 16341, NBRC 16341, JCM 10667, CGMCC 4.1522, CIP 107903",1,Actinomadura catellatispora,GCA_014205085,0
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,Actinomadura craniellae,GCA_003289645,0
